"Cidade","Nº Oc.","Data","Bairro","Local","Emergência","Viaturas","Obm.","Latitude","Longitude","todos_subgrupos","Detalhar"
"PORTO ALEGRE","555035","21/08/2023 - 17:51","PASSO DAREIA","PAULO SETÚBAL","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.017293505867183","-51.16523981094361","VISTORIA",""
"PORTO ALEGRE","555040","21/08/2023 - 18:05","SANTA CECÍLIA","SILVA SÓ","ATENDIMENTO PRÉ-HOSPITALAR","AR-0456","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.041550915973094","-51.2037777305236","",""
"PORTO ALEGRE","555057","21/08/2023 - 19:06","FLORESTA","CRISTÓVÃO COLOMBO","INCÊNDIO","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.01829215702876","-51.2049150466919","TRANSFORMADOR/REDE ELÉTRICA",""
"PORTO ALEGRE","555059","21/08/2023 - 19:09","APARÍCIO BORGES","MARIA BASTOS","AÇÕES PREVENTIVAS","ABT-1250","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.075630366577613","-51.18119341748085","INSPEÇÃO/REMOÇÃO DE FONTE DE PERIGO",""
"PORTO ALEGRE","555093","21/08/2023 - 20:22","RESTINGA","MERIDIONAL","INCÊNDIO","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.155425033831428","-51.13863211918365","MEIO DE TRANSPORTE",""
"PORTO ALEGRE","555140","22/08/2023 - 04:42","LOMBA DO PINHEIRO","RUA GOIAS","INCÊNDIO","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.105651415129472","-51.11756086349488","LIXO",""
"PORTO ALEGRE","555152","22/08/2023 - 08:01","MENINO DEUS","DEZESSETE DE JUNHO","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.047420474861575","-51.221609115600586","INSPEÇÃO/REMOÇÃO DE FONTE DE PERIGO",""
"PORTO ALEGRE","555163","22/08/2023 - 08:27","BELÉM VELHO","AFONSO LOURENÇO MARIANTE","AVERIGUAÇÃO/CORTE DE ÁRVORE","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.111350114507683","-51.15618433285691","CORTE PARCIAL",""
"PORTO ALEGRE","555163","22/08/2023 - 08:27","BELÉM VELHO","AFONSO LOURENÇO MARIANTE","AVERIGUAÇÃO/CORTE DE ÁRVORE","ABT-1078","BBS / 1ª CIA / 1º PEL / TERRESTRE","-30.11205546811818","-51.15682835583611","CORTE PARCIAL",""
"PORTO ALEGRE","555208","22/08/2023 - 10:05","NONOAI","CRUZ ALTA","AVERIGUAÇÃO/CORTE DE ÁRVORE","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.085972597915656","-51.22113704681397","VISTORIA",""
"PORTO ALEGRE","555216","22/08/2023 - 10:27","AZENHA","GARIBALDI","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.043761328656753","-51.22002124786378","PROGRAMA BOMBEIRO NA ESCOLA",""
"PORTO ALEGRE","555258","22/08/2023 - 11:54","SARANDI","ASSIS BRASIL","SALVAMENTO/BUSCA/RESGATE","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-29.980773128239285","-51.11459970474244","COLISÃO/CHOQUE",""
"PORTO ALEGRE","555258","22/08/2023 - 11:54","SARANDI","ASSIS BRASIL","ATENDIMENTO PRÉ-HOSPITALAR","AR-0456","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-29.98077817712461","-51.11467140885942","OCORRÊNCIA DE VULTO",""
"PORTO ALEGRE","555287","22/08/2023 - 13:40","CHAPÉU DO SOL","EST. CHAPÉU DO SOL","AÇÕES PREVENTIVAS","ABT-1226","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.18317748769209","-51.16206407546998","PROGRAMA BOMBEIRO NA ESCOLA",""
"PORTO ALEGRE","555292","22/08/2023 - 13:54","CIDADE BAIXA","LOUREIRO DA SILVA","OCORRÊNCIA NÃO ATENDIDA","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.037427157130782","-51.226050853729255","",""
"PORTO ALEGRE","555326","22/08/2023 - 14:52","MOINHOS DE VENTO","FERNANDO GOMES","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-1078","BBS / 1ª CIA / 1º PEL / TERRESTRE","-30.025816554021542","-51.20573041838377","VISTORIA",""
"PORTO ALEGRE","555340","22/08/2023 - 15:21","BELÉM VELHO","VENTURA PINTO","AVERIGUAÇÃO/CORTE DE ÁRVORE","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.113419756205683","-51.18446588516235","CORTE PARCIAL",""
"PORTO ALEGRE","555344","22/08/2023 - 15:30","HÍPICA","RUA DO SCHNEIDER","AÇÕES PREVENTIVAS","ABT-1226","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.163161630295278","-51.17137670516968","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555346","22/08/2023 - 15:35","BELEM NOVO","AV JUCA BATISTA","AÇÕES PREVENTIVAS","ABT-1226","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.166204154193604","-51.1823844909668","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555357","22/08/2023 - 15:58","SÃO JOÃO","ASSIS BRASIL","SALVAMENTO/BUSCA/RESGATE","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.00861178442368","-51.180603504180915","DE ANIMAL",""
"PORTO ALEGRE","555373","22/08/2023 - 16:47","FLORESTA","AV CRISTOVÃO COLOMBO","AÇÕES PREVENTIVAS","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.01780908981566","-51.19774818420411","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555375","22/08/2023 - 16:48","FLORESTA","AV CRISTOVÃO COLOMBO","AÇÕES PREVENTIVAS","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.01695442667418","-51.181654930114746","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555386","22/08/2023 - 17:17","RESTINGA","RUA C","AÇÕES PREVENTIVAS","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.15063805869155","-51.13504581030612","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555387","22/08/2023 - 17:19","BELÉM VELHO","ESTRADA AFONSO LOURENÇO MARIANTE","AÇÕES PREVENTIVAS","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.111721353877808","-51.15680684042267","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555388","22/08/2023 - 17:22","BELÉM VELHO","DOUTOR VERGARA","AÇÕES PREVENTIVAS","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.11626892294507","-51.18112921714783","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555389","22/08/2023 - 17:32","BELEM NOVO","NOSSA SENHORA DO ROSARIO","AÇÕES PREVENTIVAS","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.116435972516165","-51.18098437786102","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555443","22/08/2023 - 19:48","RUBEM BERTA","ANTÔNIO BASTOS","SALVAMENTO/BUSCA/RESGATE","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.012550936801237","-51.098270416259766","DE ANIMAL",""
"PORTO ALEGRE","555453","22/08/2023 - 20:22","INDEPENDÊNCIA","CASTRO ALVES","OCORRÊNCIA NÃO ATENDIDA","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.030219454811093","-51.21021509170533","",""
"PORTO ALEGRE","555454","22/08/2023 - 20:24","RESTINGA","R ALAMEDA DOS SARGENTOS","INCÊNDIO","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.14731672625182","-51.11201303037333","LIXO",""
"PORTO ALEGRE","555460","22/08/2023 - 20:51","JARDIM FLORESTA","AVENIDA SERTORIO","AÇÕES PREVENTIVAS","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.00441232708754","-51.12760305404664","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555461","22/08/2023 - 20:51","SARANDI","SERTÓRIO","AÇÕES PREVENTIVAS","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.005787390212443","-51.12777471542359","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555469","22/08/2023 - 21:21","PASSO DAREIA","JOÃO WALLIG","SALVAMENTO/BUSCA/RESGATE","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.016378453880897","-51.16446733474732","DE ANIMAL",""
