"Cidade","Nº Oc.","Data","Bairro","Local","Emergência","Viaturas","Obm.","Latitude","Longitude","todos_subgrupos","Detalhar"
"PORTO ALEGRE","573839","16/10/2023 - 10:41","JARDIM FLORESTA","DOUTOR DEOCLÉCIO PEREIRA","ATENDIMENTO PRÉ-HOSPITALAR","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.001290491414263","-51.15974647143454","",""
"PORTO ALEGRE","573839","16/10/2023 - 10:41","JARDIM FLORESTA","DOUTOR DEOCLÉCIO PEREIRA","ATENDIMENTO PRÉ-HOSPITALAR","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.001559939437318","-51.16007924079896","",""
"PORTO ALEGRE","573847","16/10/2023 - 11:07","RUBEM BERTA","DOUTOR MEER MÁRIO KAUFMANN","INCÊNDIO","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.00091883776816","-51.103978157043464","EDIFICAÇÃO MULTIFAMILIAR | EDIFICAÇÃO RESIDENCIAL UNIFAMILIAR",""
"PORTO ALEGRE","573847","16/10/2023 - 11:07","RUBEM BERTA","DOUTOR MEER MÁRIO KAUFMANN","INCÊNDIO","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.001007105635143","-51.104219555854804","EDIFICAÇÃO MULTIFAMILIAR",""
"PORTO ALEGRE","573857","16/10/2023 - 11:43","CRISTO REDENTOR","DOMINGOS RUBBO","INCÊNDIO","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.009875303169906","-51.15884545888559","MEIO DE TRANSPORTE",""
"PORTO ALEGRE","573861","16/10/2023 - 11:59","SANTANA","AUGUSTO PESTANA","ATENDIMENTO PRÉ-HOSPITALAR","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.038095886440107","-51.20892764421573","",""
"PORTO ALEGRE","573868","16/10/2023 - 12:15","TERESÓPOLIS","PROFESSOR CARVALHO DE FREITAS","AÇÕES PREVENTIVAS","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.07544467929413","-51.209163829114885","INSPEÇÃO/REMOÇÃO DE FONTE DE PERIGO",""
"PORTO ALEGRE","573875","16/10/2023 - 12:48","SÃO GERALDO","GUIDO MONDIM","INCÊNDIO","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.011064482582775","-51.197082996368415","EDIFICAÇÃO MULTIFAMILIAR",""
"PORTO ALEGRE","573928","16/10/2023 - 14:47","ILHA DA PINTADA","AV PRESIDENTE VARGAS","AVERIGUAÇÃO/CORTE DE ÁRVORE","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.0270984313931","-51.2533450126648","VISTORIA",""
"PORTO ALEGRE","573934","16/10/2023 - 14:56","GLÓRIA","PROFESSOR OSCAR PEREIRA","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.09766897095275","-51.17718703018138","VISTORIA",""
