"Cidade","Nº Oc.","Data","Bairro","Local","Emergência","Viaturas","Obm.","Latitude","Longitude","todos_subgrupos","Detalhar"
"PORTO ALEGRE","704375","09/11/2024 - 11:06","SANTO ANTÔNIO","ANTÔNIO RIBEIRO","INCÊNDIO","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.05903783240857","-51.19716882705689","EDIFICAÇÃO RESIDENCIAL UNIFAMILIAR",""
"PORTO ALEGRE","704379","09/11/2024 - 11:25","FLORESTA","COMENDADOR AZEVEDO","AÇÕES PREVENTIVAS","ABT-563","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.02189650733292","-51.20897054672242","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","704381","09/11/2024 - 11:31","RIO BRANCO","SÃO MANOEL","AÇÕES PREVENTIVAS","ABT-563","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.047903397766127","-51.2018895149231","INSPEÇÃO/REMOÇÃO DE FONTE DE PERIGO",""
"PORTO ALEGRE","704385","09/11/2024 - 11:42","IPANEMA","R. HOMERO SÓ JOBIM","ATENDIMENTO PRÉ-HOSPITALAR","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.13918919542218","-51.208562850952156","",""
"PORTO ALEGRE","704406","09/11/2024 - 12:39","VILA NOVA","RODRIGUES DA FONSECA","INCÊNDIO","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.116046189744154","-51.209807395935066","EDIFICAÇÃO RESIDENCIAL UNIFAMILIAR",""
"PORTO ALEGRE","704409","09/11/2024 - 12:48","CENTRO","SENADOR SALGADO FILHO","ATENDIMENTO PRÉ-HOSPITALAR","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.030906809859253","-51.22540712356568","",""
"PORTO ALEGRE","704410","09/11/2024 - 12:51","JARDIM LINDÓIA","PANAMERICANA","AÇÕES PREVENTIVAS","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-29.998057058071872","-51.15172147750855","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","704412","09/11/2024 - 12:52","JARDIM LINDÓIA","PANAMERICANA","AÇÕES PREVENTIVAS","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-29.998149974293234","-51.15170001983643","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","704417","09/11/2024 - 13:11","TRISTEZA","GENERAL RONDON","SALVAMENTO/BUSCA/RESGATE","ABT-10327","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.10289477524158","-51.244869523825045","DE ANIMAL",""
"PORTO ALEGRE","704427","09/11/2024 - 14:03","MOINHOS DE VENTO","HILÁRIO RIBEIRO","ATENDIMENTO PRÉ-HOSPITALAR","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.02553788283435","-51.204164028167725","",""
